Using 1 GPUs
Files already downloaded and verified
Files already downloaded and verified
arch resnet110
dataset cifar10
Attacker is DDN
Epoch: [0][0/196]	Time 1.042 (1.042)	Data 0.629 (0.629)	Loss 4.0038 (4.0038)	Acc@1 8.984 (8.984)	Acc@5 51.562 (51.562)
Epoch: [2][40/196]	Time 0.188 (0.203)	Data 0.002 (0.017)	Loss 2.0171 (2.0286)	Acc@1 24.609 (21.713)	Acc@5 79.297 (77.772)
Epoch: [2][50/196]	Time 0.187 (0.200)	Data 0.002 (0.014)	Loss 2.1010 (2.0238)	Acc@1 21.875 (22.120)	Acc@5 75.781 (77.964)
Epoch: [2][60/196]	Time 0.188 (0.198)	Data 0.002 (0.012)	Loss 2.0345 (2.0203)	Acc@1 20.703 (22.285)	Acc@5 75.000 (78.119)
Epoch: [2][70/196]	Time 0.188 (0.197)	Data 0.002 (0.011)	Loss 1.9333 (2.0157)	Acc@1 31.641 (22.519)	Acc@5 82.031 (78.301)
Epoch: [2][80/196]	Time 0.188 (0.195)	Data 0.002 (0.010)	Loss 1.8943 (2.0080)	Acc@1 24.219 (22.729)	Acc@5 82.812 (78.583)
Epoch: [2][90/196]	Time 0.188 (0.195)	Data 0.002 (0.009)	Loss 2.0605 (2.0021)	Acc@1 24.609 (22.931)	Acc@5 78.906 (78.880)
Epoch: [2][100/196]	Time 0.188 (0.194)	Data 0.002 (0.008)	Loss 1.9653 (1.9945)	Acc@1 24.609 (23.225)	Acc@5 82.812 (79.297)
Epoch: [2][110/196]	Time 0.188 (0.193)	Data 0.002 (0.008)	Loss 1.9103 (1.9917)	Acc@1 26.172 (23.332)	Acc@5 80.078 (79.304)
Epoch: [2][120/196]	Time 0.188 (0.193)	Data 0.002 (0.007)	Loss 1.8755 (1.9873)	Acc@1 27.734 (23.589)	Acc@5 87.109 (79.423)
Epoch: [2][130/196]	Time 0.188 (0.192)	Data 0.002 (0.007)	Loss 1.9150 (1.9823)	Acc@1 23.828 (23.718)	Acc@5 82.031 (79.604)
Epoch: [2][140/196]	Time 0.188 (0.192)	Data 0.002 (0.006)	Loss 1.8564 (1.9774)	Acc@1 27.734 (23.978)	Acc@5 84.375 (79.710)
Epoch: [2][150/196]	Time 0.187 (0.192)	Data 0.002 (0.006)	Loss 1.8608 (1.9702)	Acc@1 32.812 (24.296)	Acc@5 87.109 (80.029)
Epoch: [2][160/196]	Time 0.188 (0.192)	Data 0.002 (0.006)	Loss 1.8319 (1.9670)	Acc@1 29.688 (24.510)	Acc@5 83.984 (80.134)
Epoch: [2][170/196]	Time 0.188 (0.191)	Data 0.002 (0.006)	Loss 1.8389 (1.9632)	Acc@1 30.078 (24.735)	Acc@5 84.766 (80.238)
Epoch: [2][180/196]	Time 0.188 (0.191)	Data 0.002 (0.005)	Loss 1.8554 (1.9559)	Acc@1 28.516 (25.114)	Acc@5 86.719 (80.477)
Epoch: [2][190/196]	Time 0.188 (0.191)	Data 0.002 (0.005)	Loss 1.8667 (1.9519)	Acc@1 31.250 (25.327)	Acc@5 82.812 (80.604)
Test: [0/40]	Time 0.607 (0.607)	Data 0.550 (0.550)	Loss 1.8649 (1.8649)	Acc@1 29.297 (29.297)	Acc@5 82.812 (82.812)
Test: [10/40]	Time 0.056 (0.107)	Data 0.001 (0.052)	Loss 1.8862 (1.8710)	Acc@1 27.344 (30.575)	Acc@5 81.641 (83.168)
Test: [20/40]	Time 0.057 (0.083)	Data 0.001 (0.028)	Loss 1.9336 (1.8634)	Acc@1 25.000 (29.967)	Acc@5 83.594 (83.854)
Test: [30/40]	Time 0.057 (0.075)	Data 0.002 (0.019)	Loss 1.8163 (1.8670)	Acc@1 31.641 (30.003)	Acc@5 85.938 (83.770)
Saving at epoch:  3
slurmstepd: error: *** JOB 12809752 ON gr016 CANCELLED AT 2021-12-05T20:07:38 ***
